Description,Weekend,Area,Age,Floor,Price
                        çengelköy de 240 m2____ tertemiz 4+1____ şehir manzaralı dublex                      ,4 + 1,                          240 m2,3 Yaşında,                      4. Kat,              16.000              TL
"                        eminden,hastaneye yakın,1+0,bahçe katı,sadece bayana                      ",Stüdyo,                          35 m2,35 Yaşında,                      Bahçe Katı,              1.650              TL
                        kandilli’de işyerine uygun otoparklı  kiralık bina                      ,10 + 4,                          480 m2,16 Yaşında,,              40.000              TL
                        emr    anadolu üsküdar selimiye de 2+2 145 m2 kiralık daire                      ,2 + 2,                          145 m2,31 Yaşında,                      4. Kat,              9.500              TL
                        kadıköy koşuyulu validebağ  korusuna yakın  3/1 dire                      ,3 + 1,                          105 m2,30 Yaşında,                      2. Kat,              11.000              TL
                        evim’den merkezde giriş daire                      ,2 + 1,                          90 m2,40 Yaşında,                      Giriş Katı,              8.750              TL
                        çengelköy bahçelievler mevkiinde sıfır binada 3 oda 1 salon ara kat kiralık daire.                      ,3 + 1,                          150 m2,Sıfır Bina,                      3. Kat,              16.000              TL
                        uskudar belediye ve nevcarsiya yakın 2+1 arakat                      ,2 + 1,                          75 m2,30 Yaşında,                      Yüksek Giriş,              6.350              TL
                        kiralik daiere 3+1                      ,3 + 1,                          140 m2,2 Yaşında,                      1. Kat,              14.250              TL
                        üsküdar zeynep kamil 2+1 sıfır tadilatlı kiralık daire(2 balkon)                      ,2 + 1,                          90 m2,30 Yaşında,                      4. Kat,              7.000              TL
                        üsküdar selimiye daye kadın sokak full eşyalı 3 ay depozito noter den kontrat                      ,1 + 1,                          80 m2,25 Yaşında,                      Bahçe Katı,              6.500              TL
